player,matches_played,balls_faced,total_runs,highest_score,batting_average,strike_rate,centuries,half_centuries,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,seasons_played,first_season,last_season,career_span
A Ashish Reddy,23,196,280,36,18.67,142.86,0,0,16,15,15,270,400,18,8.89,22.22,15.0,4,2012,2016,2012-2016
A Badoni,35,505,634,59,24.38,125.54,0,4,46,24,26,25,37,2,8.88,18.5,12.5,3,2022,2024,2022-2024
A Chandila,2,7,4,4,,57.14,0,0,0,0,0,234,245,11,6.28,22.27,21.27,2,2012,2013,2012-2013
A Chopra,6,75,53,24,8.83,70.67,0,0,7,0,6,0,0,0,,,,2,2007/08,2009,2007/08-2009
A Choudhary,3,20,25,15,25.0,125.0,0,0,1,1,1,108,144,5,8.0,28.8,21.6,1,2017,2017,2017-2017
A Dananjaya,1,5,4,4,,80.0,0,0,0,0,0,25,47,0,11.28,,,1,2018,2018,2018-2018
A Flintoff,3,57,62,24,31.0,108.77,0,0,5,2,2,66,106,2,9.64,53.0,33.0,1,2009,2009,2009-2009
A Kamboj,1,2,2,2,,100.0,0,0,0,0,0,68,115,2,10.15,57.5,34.0,1,2024,2024,2024-2024
A Kumble,15,49,35,8,11.67,71.43,0,0,3,0,3,983,1089,45,6.65,24.2,21.84,3,2007/08,2009/10,2007/08-2009/10
A Manohar,15,181,231,43,16.5,127.62,0,0,21,10,14,0,0,0,,,,3,2022,2024,2022-2024
A Mishra,55,440,381,31,11.91,86.59,0,0,31,5,32,3444,4193,174,7.3,24.1,19.79,13,2007/08,2023,2007/08-2023
A Mithun,6,26,34,11,6.8,130.77,0,0,4,1,5,312,477,7,9.17,68.14,44.57,3,2009/10,2013,2009/10-2013
A Mukund,2,23,19,19,9.5,82.61,0,0,1,0,2,0,0,0,,,,2,2007/08,2013,2007/08-2013
A Nehra,17,63,41,22,5.86,65.08,0,0,3,1,7,1974,2537,106,7.71,23.93,18.62,7,2007/08,2016,2007/08-2016
A Nortje,13,51,49,23,8.17,96.08,0,0,6,0,6,1097,1614,60,8.83,26.9,18.28,4,2020/21,2024,2020/21-2024
A Raghuvanshi,7,109,163,54,23.29,149.54,0,1,16,8,7,0,0,0,,,,1,2024,2024,2024-2024
A Singh,5,10,2,1,0.5,20.0,0,0,0,0,4,486,639,28,7.89,22.82,17.36,3,2009,2012,2009-2012
A Symonds,36,781,974,117,36.07,124.71,1,5,74,41,27,540,694,20,7.71,34.7,27.0,4,2007/08,2011,2007/08-2011
A Tomar,1,8,4,4,4.0,50.0,0,0,1,0,1,0,0,0,,,,1,2022,2022,2022-2022
A Uniyal,2,7,4,4,4.0,57.14,0,0,0,0,1,38,67,2,10.58,33.5,19.0,1,2009/10,2009/10,2009/10-2009/10
A Zampa,5,25,15,7,3.0,60.0,0,0,1,0,5,425,562,29,7.93,19.38,14.66,3,2016,2023,2016-2023
AA Bilakhia,7,88,69,22,13.8,78.41,0,0,5,0,5,0,0,0,,,,2,2009,2009/10,2009-2009/10
AA Chavan,3,11,12,7,6.0,109.09,0,0,2,0,2,255,339,8,7.98,42.38,31.88,2,2011,2012,2011-2012
AA Jhunjhunwala,15,218,217,53,16.69,99.54,0,1,19,5,13,88,130,1,8.86,130.0,88.0,3,2009/10,2012,2009/10-2012
AA Kulkarni,2,8,9,9,4.5,112.5,0,0,2,0,2,0,0,0,,,,1,2024,2024,2024-2024
AA Noffke,1,12,9,9,9.0,75.0,0,0,1,0,1,25,41,1,9.84,41.0,25.0,1,2007/08,2007/08,2007/08-2007/08
AB Agarkar,18,160,179,39,17.9,111.87,0,0,13,5,10,820,1174,29,8.59,40.48,28.28,5,2007/08,2013,2007/08-2013
AB Barath,3,43,42,33,21.0,97.67,0,0,5,1,2,0,0,0,,,,1,2009/10,2009/10,2009/10-2009/10
AB Dinda,16,50,26,7,2.6,52.0,0,0,2,0,10,1589,2103,69,7.94,30.48,23.03,8,2007/08,2017,2007/08-2017
AB McDonald,9,103,123,33,24.6,119.42,0,0,9,4,5,188,263,11,8.39,23.91,17.09,5,2009,2013,2009-2013
AB de Villiers,170,3487,5181,133,39.85,148.58,3,41,414,253,130,0,0,0,,,,14,2007/08,2021,2007/08-2021
AC Blizzard,7,91,120,51,17.14,131.87,0,1,21,2,7,0,0,0,,,,2,2011,2012,2011-2012
AC Gilchrist,80,1555,2069,109,27.22,133.05,2,11,239,92,76,1,0,1,0.0,0.0,1.0,6,2007/08,2013,2007/08-2013
AC Thomas,4,19,20,12,10.0,105.26,0,0,1,1,2,327,416,14,7.63,29.71,23.36,2,2011,2012,2011-2012
AC Voges,7,143,181,45,45.25,126.57,0,0,15,3,4,56,76,0,8.14,,,1,2009/10,2009/10,2009/10-2009/10
AD Hales,6,119,148,45,24.67,124.37,0,0,13,6,6,0,0,0,,,,1,2018,2018,2018-2018
AD Mascarenhas,11,79,79,27,8.78,100.0,0,0,5,1,9,310,365,19,7.06,19.21,16.32,5,2007/08,2013,2007/08-2013
AD Mathews,41,599,724,65,23.35,120.87,0,1,44,29,31,807,1095,27,8.14,40.56,29.89,6,2009,2017,2009-2017
AD Nath,10,99,90,24,9.0,90.91,0,0,7,2,10,0,0,0,,,,4,2016,2019,2016-2019
AD Russell,104,1515,2488,88,28.93,164.22,0,11,171,209,86,1771,2691,115,9.12,23.4,15.4,12,2012,2024,2012-2024
AF Milne,6,31,23,15,5.75,74.19,0,0,0,1,4,217,339,7,9.37,48.43,31.0,2,2017,2021,2017-2021
AG Murtaza,3,14,10,5,10.0,71.43,0,0,1,0,1,269,322,9,7.18,35.78,29.89,3,2011,2013,2011-2013
AG Paunikar,5,61,49,20,9.8,80.33,0,0,9,0,5,0,0,0,,,,2,2009/10,2011,2009/10-2011
AJ Finch,90,1696,2092,88,24.9,123.35,0,15,214,78,84,44,67,1,9.14,67.0,44.0,11,2009/10,2022,2009/10-2022
AJ Hosein,1,11,16,16,,145.45,0,0,1,1,0,24,41,1,10.25,41.0,24.0,1,2023,2023,2023-2023
AJ Turner,6,31,24,16,4.8,77.42,0,0,0,2,5,0,0,0,,,,2,2019,2024,2019-2024
AJ Tye,13,79,91,25,10.11,115.19,0,0,6,5,9,714,1005,42,8.45,23.93,17.0,4,2017,2020/21,2017-2020/21
AK Markram,42,787,995,68,30.15,126.43,0,5,73,35,33,123,173,2,8.44,86.5,61.5,4,2021,2024,2021-2024
AL Menaria,23,367,401,40,19.1,109.26,0,0,24,18,21,113,144,3,7.65,48.0,37.67,3,2011,2013,2011-2013
AM Nayar,50,588,672,45,17.68,114.29,0,0,55,20,38,239,323,9,8.11,35.89,26.56,7,2007/08,2014,2007/08-2014
AM Rahane,171,3858,4642,105,30.14,120.32,2,30,479,103,154,6,5,1,5.0,5.0,6.0,16,2007/08,2024,2007/08-2024
AN Ahmed,6,27,36,18,36.0,133.33,0,0,4,1,1,362,515,12,8.54,42.92,30.17,4,2009/10,2015,2009/10-2015
AN Ghosh,2,8,7,7,3.5,87.5,0,0,1,0,2,0,0,0,,,,1,2009,2009,2009-2009
AP Dole,2,23,34,30,17.0,147.83,0,0,3,1,2,73,114,5,9.37,22.8,14.6,1,2009/10,2009/10,2009/10-2009/10
AP Majumdar,4,77,87,31,21.75,112.99,0,0,7,2,4,0,0,0,,,,1,2012,2012,2012-2012
AP Tare,27,285,339,59,14.12,118.95,0,1,40,11,24,0,0,0,,,,6,2009/10,2017,2009/10-2017
AR Bawne,1,12,12,12,,100.0,0,0,1,0,0,0,0,0,,,,1,2017,2017,2017-2017
AR Patel,112,1318,1653,66,21.47,125.42,0,3,107,79,77,3152,3824,123,7.28,31.09,25.63,11,2014,2024,2014-2024
AS Joseph,5,32,27,15,27.0,84.38,0,0,3,0,1,454,707,21,9.34,33.67,21.62,3,2019,2023,2019-2023
AS Rajpoot,7,41,26,8,5.2,63.41,0,0,2,1,5,567,844,24,8.93,35.17,23.62,4,2013,2020/21,2013-2020/21
AS Raut,16,172,194,36,21.56,112.79,0,0,13,7,9,30,45,0,9.0,,,3,2009,2011,2009-2011
AS Roy,6,24,26,13,8.67,108.33,0,0,3,0,3,142,191,5,8.07,38.2,28.4,3,2022,2024,2022-2024
AS Yadav,6,40,49,16,9.8,122.5,0,0,5,2,5,0,0,0,,,,1,2007/08,2007/08,2007/08-2007/08
AT Carey,3,29,32,14,16.0,110.34,0,0,0,1,2,0,0,0,,,,1,2020/21,2020/21,2020/21-2020/21
AT Rayudu,185,3490,4348,100,28.05,124.58,1,22,359,173,155,0,0,0,,,,14,2009/10,2023,2009/10-2023
AU Rashid,2,17,22,18,11.0,129.41,0,0,2,1,2,60,91,2,9.1,45.5,30.0,1,2023,2023,2023-2023
AUK Pathan,7,26,39,14,7.8,150.0,0,0,5,2,5,41,63,0,9.22,,,2,2011,2012,2011-2012
Abdul Basith,1,1,1,1,,100.0,0,0,0,0,0,0,0,0,,,,1,2023,2023,2023-2023
Abdul Samad,39,408,579,37,18.68,141.91,0,0,37,36,31,55,113,2,12.33,56.5,27.5,5,2020/21,2024,2020/21-2024
Abdur Razzak,1,2,0,0,,0.0,0,0,0,0,0,14,29,0,12.43,,,1,2007/08,2007/08,2007/08-2007/08
Abhishek Sharma,61,925,1377,75,25.5,148.86,0,7,128,73,54,278,396,11,8.55,36.0,25.27,7,2018,2024,2018-2024
Abishek Porel,16,244,360,65,25.71,147.54,0,2,37,15,14,0,0,0,,,,2,2023,2024,2023-2024
Akash Deep,3,12,19,17,9.5,158.33,0,0,2,1,2,175,324,7,11.11,46.29,25.0,3,2022,2024,2022-2024
Akash Madhwal,1,5,4,4,,80.0,0,0,0,0,0,279,431,19,9.27,22.68,14.68,1,2024,2024,2024-2024
Aman Hakim Khan,10,109,115,51,12.78,105.5,0,1,8,6,9,6,13,0,13.0,,,2,2022,2023,2022-2023
Anirudh Singh,4,69,63,40,15.75,91.3,0,0,6,1,4,0,0,0,,,,1,2009/10,2009/10,2009/10-2009/10
Ankit Sharma,10,69,87,30,12.43,126.09,0,0,7,4,7,375,453,12,7.25,37.75,31.25,5,2012,2017,2012-2017
Ankit Soni,3,9,7,7,3.5,77.78,0,0,0,1,2,112,145,2,7.77,72.5,56.0,1,2017,2017,2017-2017
